id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3626168-A,"Measuring correlation, amplitude probability and probability density distributions, and signal response averaging ",Boeing Co,Keith H Norsworthy,1969-07-07,1969-07-07,1971-12-07,1971-12-07,https://patents.google.com/patent/US3626168A/en,https://patentimages.storage.googleapis.com/39/dd/df/a1da21d074b109/US3626168-drawings-page-2.png
US-3612845-A,Computer utilizing random pulse trains ,Reed C Lawlor,Reed C Lawlor,1968-07-05,1968-07-05,1971-10-12,1971-10-12,https://patents.google.com/patent/US3612845A/en,https://patentimages.storage.googleapis.com/98/79/c3/d2dae5b297ed22/US3612845-drawings-page-2.png
US-3237318-A,Apparatus for simulating the operation of an electrical power generating plant ,Arthur J Schager,Arthur J Schager,1963-07-23,1963-07-23,1966-03-01,1966-03-01,https://patents.google.com/patent/US3237318A/en,https://patentimages.storage.googleapis.com/05/40/0b/51ce3fd2cfe6ba/US3237318-drawings-page-1.png
US-3474260-A,Time domain equalizer using analog shift register ,South Pacific Co,Hugh F Frohbach,1966-10-10,1966-10-10,1969-10-21,1969-10-21,https://patents.google.com/patent/US3474260A/en,https://patentimages.storage.googleapis.com/f2/d3/a6/e992d6153d784f/US3474260-drawings-page-1.png
US-3310789-A,Non-destructive read-out magneticcore translating matrice ,Int Standard Electric Corp,"Steinbuch Karl, Hans Juergen Hoenerloh",1960-09-23,1963-08-02,1967-03-21,1967-03-21,https://patents.google.com/patent/US3310789A/en,https://patentimages.storage.googleapis.com/71/fd/e5/0724559296b3db/US3310789-drawings-page-1.png
US-3270421-A,Construction calculating ruler ,Jones Orval,Jones Orval,1963-03-07,1963-03-07,1966-09-06,1966-09-06,https://patents.google.com/patent/US3270421A/en,https://patentimages.storage.googleapis.com/22/3a/33/f0a953171f3792/US3270421-drawings-page-1.png
US-3594556-A,Optical sight with electronic image stabilization ,Us Navy,William R Edwards,1969-01-08,1969-01-08,1971-07-20,1971-07-20,https://patents.google.com/patent/US3594556A/en,https://patentimages.storage.googleapis.com/a5/2d/58/449cfb1bf35d17/US3594556-drawings-page-2.png
US-3522739-A,Spectrophotometer apparatus utilizing a ratio measuring circuit ,Princeton Applied Res Corp,"Thomas Coor, Stuart L Ridgway",1968-10-28,1968-10-28,1970-08-04,1970-08-04,https://patents.google.com/patent/US3522739A/en,https://patentimages.storage.googleapis.com/75/89/b4/e83dc3e43f582e/US3522739-drawings-page-1.png
US-3534355-A,Load warning device ,Dole Valve Co,George H Fathauer,1967-03-28,1967-03-28,1970-10-13,1970-10-13,https://patents.google.com/patent/US3534355A/en,https://patentimages.storage.googleapis.com/9c/85/81/d2d162bf0ca937/US3534355-drawings-page-1.png
US-3256426-A,Integrating totalizer ,Roth,"Roth Wilfred, Leonard G Rich",1962-06-05,1962-06-05,1966-06-14,1966-06-14,https://patents.google.com/patent/US3256426A/en,https://patentimages.storage.googleapis.com/95/39/43/b0c62d42e34cac/US3256426-drawings-page-1.png
US-3086704-A,Cosine-secant multiplier ,Ryan Aeronautical Co,Leon E Hurtt,1961-11-24,1961-11-24,1963-04-23,1963-04-23,https://patents.google.com/patent/US3086704A/en,https://patentimages.storage.googleapis.com/af/e9/45/fe0fbe6650b29a/US3086704-drawings-page-1.png
US-3601588-A,Method and apparatus for adaptive control ,Foxboro Co,Edgar H Bristol,1966-05-23,1966-05-23,1971-08-24,1971-08-24,https://patents.google.com/patent/US3601588A/en,
