id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5835045-A,"Semiconductor device, and operating device, signal converter, and signal processing system using the semiconductor device. ",Canon Kabushiki Kaisha,"Katsuhisa Ogawa, Mamoru Miyawaki, Hayao Ohzu, Yukihiko Sakashita, Tetsunobu Kochi, Akihiro Ouchi",1994-10-28,1995-10-26,1998-11-10,1998-11-10,https://patents.google.com/patent/US5835045A/en,https://patentimages.storage.googleapis.com/91/e8/94/99d5ba701b0c20/US5835045-drawings-page-2.png
US-5615380-A,Integrated circuit computer system having a keyboard input and a sound output ,Hyatt; Gilbert P.,Gilbert P. Hyatt,1969-11-24,1991-04-09,1997-03-25,1997-03-25,https://patents.google.com/patent/US5615380A/en,https://patentimages.storage.googleapis.com/d8/9b/07/77364bba3eeb6a/US5615380-drawings-page-5.png
US-4810949-A,Digitally controlled monotonic attenuator ,"Motorola, Inc.","Arthur F. Schiemenz, Daniel J. Husliq",1988-03-28,1988-03-28,1989-03-07,1989-03-07,https://patents.google.com/patent/US4810949A/en,https://patentimages.storage.googleapis.com/f2/d1/cb/9a9f91096f16c9/US4810949-drawings-page-2.png
US-4782324-A,Digital signal synthesizer ,"Genrad, Inc.",Marcos A. Underwood,1987-05-06,1987-05-06,1988-11-01,1988-11-01,https://patents.google.com/patent/US4782324A/en,https://patentimages.storage.googleapis.com/27/ec/c6/78c47e4e8af022/US4782324-drawings-page-2.png
US-3264457-A,Hybrid digital-analog nonlinear function generator ,Gen Electric,"Walter R Seegmiller, Edwin C Underkoffler",1962-12-26,1962-12-26,1966-08-02,1966-08-02,https://patents.google.com/patent/US3264457A/en,https://patentimages.storage.googleapis.com/60/d9/a3/2839caef317010/US3264457-drawings-page-1.png
US-2398238-A,Integrating apparatus ,Standard Oil Dev Co,Eugene M Mcnatt,1942-05-09,1942-05-09,1946-04-09,1946-04-09,https://patents.google.com/patent/US2398238A/en,https://patentimages.storage.googleapis.com/8a/42/17/b71d061a89fd5b/US2398238-drawings-page-1.png
US-4458324-A,Charge domain multiplying device ,Massachusetts Institute Of Technology,"Barry E. Burke, Alice M. Chiang, William T. Lindley",1981-08-20,1981-08-20,1984-07-03,1984-07-03,https://patents.google.com/patent/US4458324A/en,https://patentimages.storage.googleapis.com/74/29/4a/0369fa0204f3ce/US4458324-drawings-page-2.png
US-4364110-A,Computerized machine control system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1974-06-05,1982-12-14,1982-12-14,https://patents.google.com/patent/US4364110A/en,https://patentimages.storage.googleapis.com/79/38/b3/167ae630f9b45d/US4364110-drawings-page-3.png
US-3373273-A,Analog function generator including means for multivariable interpolation ,Beckman Instruments Inc,Ernest J Schubert,1964-04-17,1964-04-17,1968-03-12,1968-03-12,https://patents.google.com/patent/US3373273A/en,https://patentimages.storage.googleapis.com/21/c8/de/07eee20a8145eb/US3373273-drawings-page-1.png
US-3904856-A,Control method for internal combustion engines ,Sopromi Soc Proc Modern Inject,Louis Monpetit,1972-12-06,1973-12-05,1975-09-09,1975-09-09,https://patents.google.com/patent/US3904856A/en,https://patentimages.storage.googleapis.com/55/4a/0e/c48ce008e4ca23/US3904856-drawings-page-2.png
US-4553213-A,Communication system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1982-09-27,1985-11-12,1985-11-12,https://patents.google.com/patent/US4553213A/en,https://patentimages.storage.googleapis.com/8d/43/40/88da8f50e591a9/US4553213-drawings-page-3.png
US-8874629-B2,"Systems, devices, and methods for solving computational problems ",D-Wave Systems Inc.,"William Macready, Geordie Rose, Herbert J. Martin",2006-06-20,2012-05-02,2014-10-28,2014-10-28,https://patents.google.com/patent/US8874629B2/en,https://patentimages.storage.googleapis.com/c7/ea/bb/1942d765643f6b/US08874629-20141028-D00000.png
US-3286176-A,Electrical phase meter and amplitude comparator ,Mellon Inst,Meyer H Birnboim,1964-10-21,1964-10-21,1966-11-15,1966-11-15,https://patents.google.com/patent/US3286176A/en,https://patentimages.storage.googleapis.com/75/f4/e3/f95c0292813cd3/US3286176-drawings-page-1.png
EP-2372542-B1,"Virtual machine, virtual machine monitor and computer control method ",Fujitsu Limited,Hiroya Inakoshi,2010-01-15,2011-01-12,2016-06-01,2016-06-01,https://patents.google.com/patent/EP2372542B1/en,https://patentimages.storage.googleapis.com/17/5b/5d/9c90155dcb74fb/imgf0001.png
US-5530399-A,Transconductance scaling circuit and method responsive to a received digital code word for use with an operational transconductance circuit ,"Motorola, Inc.","Mark J. Chambers, James B. Phillips",1994-12-27,1994-12-27,1996-06-25,1996-06-25,https://patents.google.com/patent/US5530399A/en,https://patentimages.storage.googleapis.com/64/f5/20/a6483ea3b0c057/US5530399-drawings-page-2.png
US-6070178-A,Generating random numbers from random signals without being affected by any interfering signals ,Starium Ltd,"Thomas Harris Anderson, Eric Arden Blossom",1999-02-17,1999-02-17,2000-05-30,2000-05-30,https://patents.google.com/patent/US6070178A/en,https://patentimages.storage.googleapis.com/e3/fd/93/cb5420542650eb/US6070178-drawings-page-2.png
US-4445189-A,Analog memory for storing digital information ,Hyatt Gilbert P,Gilbert P. Hyatt,1978-03-23,1980-06-19,1984-04-24,1984-04-24,https://patents.google.com/patent/US4445189A/en,https://patentimages.storage.googleapis.com/5e/16/4c/ebee7f4ca0c8b9/US4445189-drawings-page-3.png
US-3819919-A,Tracking system for time-displaced signals ,Gunigle R Mc,Gunigle R Mc,1972-12-08,1972-12-08,1974-06-25,1974-06-25,https://patents.google.com/patent/US3819919A/en,https://patentimages.storage.googleapis.com/0a/a8/09/78166579a08952/US3819919-drawings-page-2.png
US-4926180-A,Analog to digital conversion using correlated quantization and collective optimization ,Trustees Of Columbia University In The City Of New York,Dimitris Anastassiou,1988-03-25,1988-03-25,1990-05-15,1990-05-15,https://patents.google.com/patent/US4926180A/en,https://patentimages.storage.googleapis.com/7b/90/f1/fe73f643798500/US4926180-drawings-page-2.png
US-3514585-A,Multichannel correlator system ,Boeing Co,Keith H Norsworthy,1963-01-17,1966-04-04,1970-05-26,1970-05-26,https://patents.google.com/patent/US3514585A/en,https://patentimages.storage.googleapis.com/5e/d4/98/4db11520ed917a/US3514585-drawings-page-1.png
US-3746452-A,Device for determining the transparency of the atmosphere ,Compteurs Comp D,"J Teboul, A Baude, J Schieving",1968-09-05,1969-09-03,1973-07-17,1973-07-17,https://patents.google.com/patent/US3746452A/en,https://patentimages.storage.googleapis.com/b0/68/74/a0d927a8483233/US3746452-drawings-page-2.png
US-3557347-A,Digitally controlled analogue function generator ,Zeltex Inc,Jack Y Robertson,1968-09-18,1968-09-18,1971-01-19,1971-01-19,https://patents.google.com/patent/US3557347A/en,https://patentimages.storage.googleapis.com/49/b2/47/d66520d6775db5/US3557347-drawings-page-2.png
US-3579105-A,Digital readout system having an automatic zero-setting circuit ,Perkin Elmer Corp,Larkin B Scott,1969-03-03,1969-03-03,1971-05-18,1971-05-18,https://patents.google.com/patent/US3579105A/en,https://patentimages.storage.googleapis.com/32/4c/78/a2d07a9e62e16c/US3579105-drawings-page-2.png
US-5291428-A,Apparatus for reducing spurious frequency components in the output signal of a direct digital synthesizer ,Harris Corporation,"Edwin R. Twitchell, Daniel B. Talbot",1993-03-02,1993-03-02,1994-03-01,1994-03-01,https://patents.google.com/patent/US5291428A/en,https://patentimages.storage.googleapis.com/bf/5a/01/cecd7c3fc3631e/US5291428-drawings-page-2.png
US-4178631-A,Digital phase detector and method ,"Tractor, Inc.","Robert L. Nelson, Jr.",1978-02-13,1978-02-13,1979-12-11,1979-12-11,https://patents.google.com/patent/US4178631A/en,https://patentimages.storage.googleapis.com/ae/1a/2d/c9ab6cef296a5f/US4178631-drawings-page-2.png
EP-0322382-B1,Analog integrated circuit having intrinsic topologies and characteristics selectable by a digital control ,SGS-THOMSON MICROELECTRONICS S.r.l.,"Vincenzo Daniele, Marco Maria Monti, Michele Taliercio, Piero Capocelli",1987-12-22,1988-12-21,1994-09-07,1994-09-07,https://patents.google.com/patent/EP0322382B1/en,https://patentimages.storage.googleapis.com/c1/66/b8/2de3773bd2628f/imgf0001.png
US-6795837-B1,Programmable random bit source ,Intel Corporation,Steven E. Wells,1999-03-31,1999-03-31,2004-09-21,2004-09-21,https://patents.google.com/patent/US6795837B1/en,https://patentimages.storage.googleapis.com/45/c4/a8/fe8ed5aa129ffe/US6795837-drawings-page-3.png
US-4766328-A,Programmable pulse generator ,System-General Corporation,Ta-Yung Yang,1987-05-26,1987-05-26,1988-08-23,1988-08-23,https://patents.google.com/patent/US4766328A/en,https://patentimages.storage.googleapis.com/da/6a/c3/66c484595a7583/US4766328-drawings-page-2.png
