id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3387693-A,Keyboard with keys of transparent material ,Wirth Gallo & Co,Wirth Johannes,1966-01-31,1966-12-20,1968-06-11,1968-06-11,https://patents.google.com/patent/US3387693A/en,https://patentimages.storage.googleapis.com/dd/4a/dc/212850e62f803b/US3387693-drawings-page-1.png
US-4163125-A,Pushbutton keyboard system ,Texas Instruments Incorporated,Henry J. Boulanger,1971-06-01,1974-07-29,1979-07-31,1979-07-31,https://patents.google.com/patent/US4163125A/en,https://patentimages.storage.googleapis.com/64/38/e9/409b758837ad83/US4163125-drawings-page-2.png
US-3570448-A,Device for herd management ,Robin Ian Yeoman Gates,Robin Ian Yeoman Gates,1968-11-29,1969-11-28,1971-03-16,1971-03-16,https://patents.google.com/patent/US3570448A/en,https://patentimages.storage.googleapis.com/d9/09/7c/a946805b3f8eda/US3570448-drawings-page-2.png
US-1812161-A,Printing mechanism for calculating machines ,Portable Adding Machine Compan,Mapel Clarence Orin,1926-07-15,1926-07-15,1931-06-30,1931-06-30,https://patents.google.com/patent/US1812161A/en,https://patentimages.storage.googleapis.com/97/29/05/e902e8a86b055f/US1812161-drawings-page-1.png
US-3758785-A,Key operated optical switch for electronics input keyboard including semiconductor light emitting and light sensitive components and reciprocating shutter ,Licentia Gmbh,H Maute,1970-09-30,1971-09-13,1973-09-11,1973-09-11,https://patents.google.com/patent/US3758785A/en,https://patentimages.storage.googleapis.com/16/73/50/99866f07556a53/US3758785-drawings-page-2.png
US-2356714-A,Calculating machine ,Bell Punch Co Ltd,Webb Christopher Frederick,1938-05-28,1939-05-24,1944-08-22,1944-08-22,https://patents.google.com/patent/US2356714A/en,https://patentimages.storage.googleapis.com/d8/68/2a/894abfca944e90/US2356714-drawings-page-1.png
US-2403273-A,Calculating machine ,,,,,1946-07-02,1946-07-02,https://patents.google.com/patent/US2403273A/en,https://patentimages.storage.googleapis.com/bb/23/66/310a2a24796485/US2403273-drawings-page-1.png
US-2007166673-A1,Abacus ,Frieman Shlomo R,Shlomo Frieman,2006-01-13,2006-01-13,2007-07-19,,https://patents.google.com/patent/US20070166673A1/en,https://patentimages.storage.googleapis.com/e9/4f/a4/bcfc10c6d76464/US20070166673A1-20070719-D00000.png
US-2720961-A,Key latching and release mechanism ,Ibm,Smith William Richard,1954-03-31,1954-03-31,1955-10-18,1955-10-18,https://patents.google.com/patent/US2720961A/en,https://patentimages.storage.googleapis.com/ec/96/34/4b1cba01f2de46/US2720961-drawings-page-1.png
US-1746516-A,Registering and printing device ,,,,,1930-02-11,1930-02-11,https://patents.google.com/patent/US1746516A/en,https://patentimages.storage.googleapis.com/9d/11/a8/c771bf091f8588/US1746516-drawings-page-1.png
US-2562172-A,Campos ,,,,,1951-07-31,1951-07-31,https://patents.google.com/patent/US2562172A/en,https://patentimages.storage.googleapis.com/57/f7/c1/af06c025951a5d/US2562172-drawings-page-1.png
US-3714399-A,Race calculator ,J Cataland,J Cataland,1972-01-21,1972-01-21,1973-01-30,1973-01-30,https://patents.google.com/patent/US3714399A/en,https://patentimages.storage.googleapis.com/fe/30/f8/0d0ab292685fad/US3714399-drawings-page-2.png
US-3735504-A,Arithmetic teaching aid ,C Fedyna,C Fedyna,1971-06-29,1971-06-29,1973-05-29,1973-05-29,https://patents.google.com/patent/US3735504A/en,https://patentimages.storage.googleapis.com/ec/29/0a/de0f7d39243cda/US3735504-drawings-page-2.png
US-2331298-A,Plotting device ,Bennett Hubert,Bennett Hubert,1941-12-20,1941-12-20,1943-10-12,1943-10-12,https://patents.google.com/patent/US2331298A/en,https://patentimages.storage.googleapis.com/ef/6d/17/0b4e4e451dfdef/US2331298-drawings-page-1.png
US-4100402-A,Keyboard key with changeable indicia ,Hugin Kassaregister Ab,"Goran Lundstrom, Willem Huijsers",1976-11-22,1976-11-22,1978-07-11,1978-07-11,https://patents.google.com/patent/US4100402A/en,https://patentimages.storage.googleapis.com/69/e8/b2/ceb182bd1d16d1/US4100402-drawings-page-2.png
US-4625099-A,Fertility calculator ,John Freedom,John Freedom,1985-05-20,1985-05-20,1986-11-25,1986-11-25,https://patents.google.com/patent/US4625099A/en,https://patentimages.storage.googleapis.com/51/86/8c/2746432fe4a573/US4625099-drawings-page-2.png
US-2252621-A,Calculating machine ,,,,,1941-08-12,1941-08-12,https://patents.google.com/patent/US2252621A/en,https://patentimages.storage.googleapis.com/68/0d/f3/39656df647e574/US2252621-drawings-page-1.png
US-2560910-A,Automatic multiplying machine ,,,,,1951-07-17,1951-07-17,https://patents.google.com/patent/US2560910A/en,https://patentimages.storage.googleapis.com/62/16/cb/ea9f25b956d487/US2560910-drawings-page-1.png
US-2741426-A,golemon ,,,,,1956-04-10,1956-04-10,https://patents.google.com/patent/US2741426A/en,https://patentimages.storage.googleapis.com/77/5a/9a/805014aa7c7db4/US2741426-drawings-page-1.png
US-2055703-A,Calculating machine ,,,,,1936-09-29,1936-09-29,https://patents.google.com/patent/US2055703A/en,https://patentimages.storage.googleapis.com/0b/03/ba/46b4f5b1b858bb/US2055703-drawings-page-1.png
US-2226919-A,gubelman ,,,,,1940-12-31,1940-12-31,https://patents.google.com/patent/US2226919A/en,https://patentimages.storage.googleapis.com/6f/5b/00/c97732089c1023/US2226919-drawings-page-1.png
US-2215263-A,Motor driven calculating machine ,,,,,1940-09-17,1940-09-17,https://patents.google.com/patent/US2215263A/en,https://patentimages.storage.googleapis.com/88/69/e3/24062e052abb0d/US2215263-drawings-page-1.png
US-3740746-A,Magnetic keyboard ,Cit Alcatel,"G Dureau, L Roche, M Villain",1970-11-30,1971-11-30,1973-06-19,1973-06-19,https://patents.google.com/patent/US3740746A/en,https://patentimages.storage.googleapis.com/3b/66/94/dd9a5ced29d7da/US3740746-drawings-page-2.png
US-1219766-A,Bookkeeping-machine. ,John Royden Peirce,John Royden Peirce,1909-02-20,1909-02-20,1917-03-20,1917-03-20,https://patents.google.com/patent/US1219766A/en,https://patentimages.storage.googleapis.com/2e/d2/d1/4cdca7e7d00fcf/US1219766-drawings-page-1.png
US-RE34498-E,Manual teaching calculator ,Ylitalo; Howard M.,Howard M. Ylitalo,1991-05-20,1992-10-20,1994-01-04,1994-01-04,https://patents.google.com/patent/USRE34498E/en,https://patentimages.storage.googleapis.com/ac/72/41/5a51b989921e9d/USRE34498-drawings-page-2.png
